     index            Field [G]         Intensity []
       461                  384   -0.539634688719097
       462                384.4   -0.540227967848689
       463                384.8   -0.540397491015822
       464                385.2   -0.540088810305588
       465                385.6   -0.539275839243315
       466                  386   -0.537921058768824
       467                386.4   -0.536024367815374
       468                386.8   -0.533702134908347
       469                387.2   -0.531227837402042
       470                387.6   -0.529007107155346
       471                  388   -0.527494613576109
       472                388.4   -0.527074545218644
       473                388.8   -0.527937903330311
       474                389.2   -0.530011209044309
       475                389.6   -0.532999808299331
       476                  390   -0.536553791160064
       477                390.4   -0.540447851567636
       478                390.8    -0.54460741805777
       479                391.2   -0.548934611520866
       480                391.6   -0.553106074034676
       481                  392    -0.55657505012995
       482                392.4    -0.55881322644315
       483                392.8   -0.559596411261486
       484                393.2   -0.559127151020629
       485                393.6   -0.557952477868963
       486                  394   -0.556749317631474
       487                394.4   -0.556050016478645
       488                394.8   -0.555992641827992
       489                395.2    -0.55624145437567
       490                395.6   -0.556190174202684
       491                  396    -0.55536657056757
       492                396.4   -0.553771281028566
       493                396.8   -0.551906703393544
       494                397.2   -0.550462411216368
       495                397.6   -0.549849186496369
       496                  398   -0.549889293104967
       497                398.4   -0.549910142164739
       498                398.8    -0.54922072790742
       499                399.2   -0.547620960205059
       500                399.6   -0.545529042830613
       501                  400   -0.543640708910895
       502                400.4   -0.542436283548623
       503                400.8   -0.541918255321602
       504                401.2   -0.541696786449062
       505                401.6   -0.541276305949028
       506                  402   -0.540333291563119
       507                402.4   -0.538843415454205
       508                402.8   -0.537013088284741
       509                403.2   -0.535085286366608
       510                403.6   -0.533182943454266
       511                  404   -0.531320113115071
       512                404.4   -0.529550167991559
       513                404.8   -0.528101060406922
       514                405.2   -0.527389399679708
       515                405.6   -0.527904827759224
       516                  406   -0.529986522607008
       517                406.4   -0.533548391626067
       518                406.8   -0.537929740527312
       519                407.2   -0.542079795289132
       520                407.6   -0.545043295629733
       521                  408   -0.546405692699006
       522                408.4   -0.546371888989993
       523                408.8   -0.545499220295743
       524                409.2   -0.544372279486409
       525                409.6   -0.543429263275396
       526                  410    -0.54291848427833
       527                410.4   -0.542888058168969
       528                410.8   -0.543201372371906
       529                411.2   -0.543619543480022
       530                411.6   -0.543928684406205
       531                  412   -0.544039128096605
       532                412.4   -0.544018228958701
       533                412.8   -0.544057311680145
       534                413.2   -0.544364433610305
       535                413.6   -0.544995296749641
       536                  414   -0.545726018378998
       537                414.4   -0.546112173714832
       538                414.8    -0.54575025498462
       539                415.2     -0.5445580521159
       540                415.6   -0.542844838589789
       541                  416   -0.541117719093457
       542                416.4   -0.539787395170866
       543                416.8    -0.53898498037828
       544                417.2   -0.538568790178967
       545                417.6   -0.538249814857655
       546                  418   -0.537733531131967
       547                418.4    -0.53683770271486
       548                418.8   -0.535584485984253
       549                419.2   -0.534241280864816
       550                419.6   -0.533266588224745
       551                  420   -0.533152100255539
       552                420.4   -0.534205607045266
       553                420.8   -0.536357514663696
       554                421.2   -0.539098327063123
       555                421.6   -0.541631228239849
       556                  422   -0.543207189931319
       557                422.4   -0.543465467958309
       558                422.8    -0.54257532636371
       559                423.2   -0.541103638082246
       560                423.6   -0.539703741191429
       561                  424   -0.538816074048112
       562                424.4   -0.538554484369247
       563                424.8   -0.538826046869388
       564                425.2   -0.539550332034771
       565                425.6   -0.540757406325362
       566                  426   -0.542471741348129
       567                426.4   -0.544520268761047
       568                426.8   -0.546480627754915
       569                427.2   -0.547831850907675
       570                427.6   -0.548177373627344
       571                  428   -0.547378372768407
       572                428.4   -0.545550239777142
       573                428.8   -0.542990294742358
       574                429.2   -0.540118146367148
       575                429.6   -0.537433834637888
       576                  430   -0.535437558973653
       577                430.4   -0.534495311531223
       578                430.8   -0.534723196550612
       579                431.2   -0.535970453903011
       580                431.6   -0.537900070759942
       581                  432   -0.540109684857113
       582                432.4   -0.542246260236702
       583                432.8   -0.544085166938672
       584                433.2   -0.545547734315559
       585                433.6   -0.546660105130968
       586                  434   -0.547500736910789
       587                434.4   -0.548182872058928
       588                434.8   -0.548859211407889
       589                435.2   -0.549690114611003
       590                435.6   -0.550757183464576
       591                  436    -0.55199715891942
       592                436.4    -0.55324776884978
       593                436.8   -0.554385693932605
       594                437.2   -0.555426173209639
       595                437.6    -0.55648956757071
       596                  438   -0.557676389228868
       597                438.4   -0.558965479503161
       598                438.8    -0.56020474748504
       599                439.2   -0.561179862721752
       600                439.6   -0.561695478972957
       601                  440   -0.561602744587433
       602                440.4   -0.560760790205128
       603                440.8   -0.558996985196686
       604                441.2   -0.556146874146848
       605                441.6   -0.552179370758729
       606                  442   -0.547330325784597
       607                442.4   -0.542154865165181
       608                442.8   -0.537440993099093
       609                443.2   -0.533972851723115
       610                443.6   -0.532218710343594
       611                  444   -0.532115253443108
       612                444.4   -0.533100851458557
       613                444.8   -0.534386614791014
       614                445.2   -0.535303000706416
       615                445.6   -0.535555314813922
       616                  446   -0.535302030717463
       617                446.4   -0.535029951808816
       618                446.8   -0.535264597139888
       619                447.2   -0.536262720958423
       620                447.6   -0.537887350005006
       621                  448   -0.539749469494242
       622                448.4   -0.541486041197014
       623                448.8   -0.542934540809203
       624                449.2   -0.544069343274795
       625                449.6   -0.544796381748797
       626                  450   -0.544854308766762
       627                450.4   -0.543985639291958
       628                450.8   -0.542265491377281
       629                451.2   -0.540269130090168
       630                451.6   -0.538861400433773
       631                  452   -0.538727221303195
       632                452.4   -0.539991366453877
       633                452.8    -0.54218031878418
       634                453.2   -0.544501158535343
       635                453.6   -0.546232278819414
       636                  454   -0.547024797927087
       637                454.4   -0.546993841462132
       638                454.8   -0.546561055771735
       639                455.2   -0.546125643919387
       640                455.6   -0.545778723240293
       641                  456   -0.545293642481469
       642                456.4   -0.544419115066104
       643                456.8   -0.543217058447159
       644                457.2   -0.542124303525663
       645                457.6   -0.541674478561907
       646                  458   -0.542125911403456
       647                458.4   -0.543280418408313
       648                458.8    -0.54456303259492
       649                459.2   -0.545256155219068
       650                459.6   -0.544790223232102
       651                  460   -0.543032846252364
       652                460.4    -0.54044817736955
       653                460.8   -0.537951167329896
       654                461.2   -0.536451252802105
       655                461.6   -0.536366219982168
